"Cruise","Date","Depth","O2_uM","NO3_uM","H2S_uM","Depth_m"
80,"2013-02-13",0.06,160.848,24.583,0,60
80,"2013-02-13",0.075,149.762,27.674,0,75
80,"2013-02-13",0.085,135.331,11.265,0,85
80,"2013-02-13",0.09,100.632,11.573,0,90
80,"2013-02-13",0.097,33.242,14.071,0,97
80,"2013-02-13",0.1,19.229,10.853,0,100
80,"2013-02-13",0.11,4.673,8.536,0,110
80,"2013-02-13",0.12,3.881,4.908,0,120
80,"2013-02-13",0.135,4.958,12.408,0,135
80,"2013-02-13",0.15,5.547,16.157,0,150
80,"2013-02-13",0.165,6.102,8.557,0,165
80,"2013-02-13",0.185,5.478,13.03,0,185
80,"2013-02-13",0.2,6.053,12.154,0,200
81,"2013-03-13",0.01,204.505,25.932,0,10
81,"2013-03-13",0.02,199.381,26.343,0,20
81,"2013-03-13",0.04,168.883,29.089,0,40
81,"2013-03-13",0.06,149.472,28.18,0,60
81,"2013-03-13",0.075,36.263,29.657,0,75
81,"2013-03-13",0.085,148.597,24.11,0,85
81,"2013-03-13",0.09,146.619,28.691,0,90
81,"2013-03-13",0.097,54.947,14.815,0,97
81,"2013-03-13",0.1,29.962,23.007,0,100
81,"2013-03-13",0.11,12.547,11.693,0,110
81,"2013-03-13",0.12,1.774,18.506,0,120
81,"2013-03-13",0.135,13.907,18.733,0,135
81,"2013-03-13",0.15,5.26,28.876,0,150
81,"2013-03-13",0.165,5.111,21.506,0,165
81,"2013-03-13",0.185,4.054,17.449,0,185
81,"2013-03-13",0.2,3.401,0,0,200
82,"2013-04-17",0.01,241.666,9.518,0,10
82,"2013-04-17",0.02,196.416,20.983,0,20
82,"2013-04-17",0.04,173.472,28.394,0,40
82,"2013-04-17",0.06,172.294,28.064,0,60
82,"2013-04-17",0.075,126.239,30.008,0,75
82,"2013-04-17",0.085,123.062,28.383,0,85
82,"2013-04-17",0.09,98.317,28.256,0,90
82,"2013-04-17",0.097,55.156,NA,0,97
82,"2013-04-17",0.1,37.687,27.6,0,100
82,"2013-04-17",0.11,6.82,20.777,0,110
82,"2013-04-17",0.12,2.838,13.552,0,120
82,"2013-04-17",0.135,2.719,18.081,0,135
82,"2013-04-17",0.15,2.727,19.505,0,150
82,"2013-04-17",0.165,2.644,16.584,0,165
82,"2013-04-17",0.185,2.627,12.935,0,185
82,"2013-04-17",0.2,2.511,2.711,0,200
83,"2013-05-08",0.01,292.886,13.263,0,10
83,"2013-05-08",0.02,285.18,11.693,0,20
83,"2013-05-08",0.04,218.158,16.716,0,40
83,"2013-05-08",0.06,175.923,30.138,0,60
83,"2013-05-08",0.075,137.017,29.839,0,75
83,"2013-05-08",0.085,85.996,29.948,0,85
83,"2013-05-08",0.09,71.366,29.73,0,90
83,"2013-05-08",0.097,34.792,29.296,0,97
83,"2013-05-08",0.1,26.255,28.841,0,100
83,"2013-05-08",0.11,9.193,23.916,0,110
83,"2013-05-08",0.12,4.026,15.942,0,120
83,"2013-05-08",0.135,3.76,16.06,0,135
83,"2013-05-08",0.15,3.715,17.398,0,150
83,"2013-05-08",0.165,3.646,12.632,0,165
83,"2013-05-08",0.185,3.621,4.788,0,185
83,"2013-05-08",0.2,3.403,0,0,200
84,"2013-06-13",0.01,217.245,8.155,0,10
84,"2013-06-13",0.02,203.558,11.482,0,20
84,"2013-06-13",0.04,158.837,16.104,0,40
84,"2013-06-13",0.06,132.359,30.508,0,60
84,"2013-06-13",0.075,80.724,29.359,0,75
84,"2013-06-13",0.085,50.474,22.793,0,85
84,"2013-06-13",0.09,41.549,30.679,0,90
84,"2013-06-13",0.097,38.312,27.331,0,97
84,"2013-06-13",0.1,37.795,23.878,0,100
84,"2013-06-13",0.11,14.664,20.627,0,110
84,"2013-06-13",0.12,3.874,14.868,0,120
84,"2013-06-13",0.135,3.569,11.361,0,135
84,"2013-06-13",0.15,3.478,7.463,0,150
84,"2013-06-13",0.165,3.388,6.342,0,165
84,"2013-06-13",0.185,3.397,0.811,0,185
85,"2013-07-10",0.09,40.116,29.59,0,90
85,"2013-07-10",0.097,35.73,28.375,0,97
85,"2013-07-10",0.185,2.648,0,0,185
86,"2013-08-01",0.01,257.717,3.132,0,10
86,"2013-08-01",0.02,189.801,15.649,0,20
86,"2013-08-01",0.04,133.746,25.936,0,40
86,"2013-08-01",0.06,94.186,29.515,0,60
86,"2013-08-01",0.075,55.53,31.812,0,75
86,"2013-08-01",0.085,39.699,30.783,0,85
86,"2013-08-01",0.09,37.831,30.772,0,90
86,"2013-08-01",0.097,35.927,29.74,0,97
86,"2013-08-01",0.1,34.258,29.52,0,100
86,"2013-08-01",0.11,24.168,28.077,0,110
86,"2013-08-01",0.12,17.416,19.977,0,120
86,"2013-08-01",0.135,7.053,16.16,0,135
86,"2013-08-01",0.15,4.491,1.633,0,150
86,"2013-08-01",0.165,3.562,0,0,165
87,"2013-09-11",0.01,184.25,14.333,0,10
87,"2013-09-11",0.02,146.325,16.867,0,20
87,"2013-09-11",0.04,118.17,26.25,0,40
87,"2013-09-11",0.06,85.527,28.704,0,60
87,"2013-09-11",0.075,29.232,26.538,0,75
87,"2013-09-11",0.085,28.093,24.574,0,85
87,"2013-09-11",0.09,30.527,25.074,0,90
87,"2013-09-11",0.097,35.068,24.953,0,97
87,"2013-09-11",0.1,40.718,24.711,0,100
87,"2013-09-11",0.11,41.933,24.028,0,110
87,"2013-09-11",0.12,49.628,24.618,0,120
87,"2013-09-11",0.135,18.334,14.357,0,135
87,"2013-09-11",0.15,4.76,0.444,0,150
87,"2013-09-11",0.165,4.26,0,0,165
88,"2013-10-09",0.01,124.702,16.488,0,10
88,"2013-10-09",0.02,122.327,10.632,0,20
88,"2013-10-09",0.04,121.809,24.879,0,40
88,"2013-10-09",0.06,99.708,26.45,0,60
88,"2013-10-09",0.075,66.118,27.51,0,75
88,"2013-10-09",0.085,31.662,12.401,0,85
88,"2013-10-09",0.09,25.982,23.129,0,90
88,"2013-10-09",0.097,26.136,15.035,0,97
88,"2013-10-09",0.1,24.979,26.446,0,100
88,"2013-10-09",0.12,21.756,18.955,0,120
88,"2013-10-09",0.135,13.703,6.228,0,135
88,"2013-10-09",0.15,4.247,2.602,0,150
88,"2013-10-09",0.165,3.773,1.237,0,165
89,"2013-11-13",0.01,4.788,24.981,0,10
89,"2013-11-13",0.02,5.171,22.251,0,20
89,"2013-11-13",0.04,4.064,25.837,0,40
89,"2013-11-13",0.06,4.328,26.613,0,60
89,"2013-11-13",0.075,4.413,28.659,0,75
89,"2013-11-13",0.085,3.186,27.522,0,85
89,"2013-11-13",0.09,2.655,25.9,0,90
89,"2013-11-13",0.097,1.408,24.633,0,97
89,"2013-11-13",0.1,1.386,24.513,0,100
89,"2013-11-13",0.11,0.822,24.28,0,110
89,"2013-11-13",0.12,0,21.567,0,120
89,"2013-11-13",0.135,0,22.013,0,135
89,"2013-11-13",0.15,0,5.792,0,150
89,"2013-11-13",0.165,0,3.402,0,165
89,"2013-11-13",0.185,0,0.738,0,185
89,"2013-11-13",0.2,0.079,0.886,0,200
91,"2014-01-15",0.01,196.091,27.914,0,10
91,"2014-01-15",0.02,173.96,27.862,0,20
91,"2014-01-15",0.04,154.042,27.897,0,40
91,"2014-01-15",0.06,128.043,27.873,0,60
91,"2014-01-15",0.075,131.669,28.111,0,75
91,"2014-01-15",0.085,109.079,27.27,0,85
91,"2014-01-15",0.09,101.365,27.087,0,90
91,"2014-01-15",0.097,73.363,26.742,0,97
91,"2014-01-15",0.1,70.58,26.202,0,100
91,"2014-01-15",0.11,11.309,24.755,0,110
91,"2014-01-15",0.12,3.182,19.916,0,120
91,"2014-01-15",0.135,0.984,14.358,0,135
91,"2014-01-15",0.15,0.697,3.199,0,150
91,"2014-01-15",0.165,0.653,0.233,0,165
91,"2014-01-15",0.185,0.751,0,0,185
92,"2014-02-12",0.01,197.517,29.114,0,10
92,"2014-02-12",0.02,184.877,28.812,0,20
92,"2014-02-12",0.04,162.15,19.988,0,40
92,"2014-02-12",0.06,139.599,28.996,0,60
92,"2014-02-12",0.075,80.713,28.734,0,75
92,"2014-02-12",0.085,66.976,26.474,0,85
92,"2014-02-12",0.09,57.982,20.542,0,90
92,"2014-02-12",0.097,53.593,25.622,0,97
92,"2014-02-12",0.1,63.249,27.941,0,100
92,"2014-02-12",0.11,50.613,27.237,0,110
92,"2014-02-12",0.12,16.241,16.9,0,120
92,"2014-02-12",0.135,0.933,15.121,0,135
92,"2014-02-12",0.15,0.654,6.741,0,150
92,"2014-02-12",0.165,0.733,0,0,165
93,"2014-03-12",0.01,225.302,26.984,0,10
93,"2014-03-12",0.02,216.169,28.741,0,20
93,"2014-03-12",0.04,209.439,29.242,0,40
93,"2014-03-12",0.06,164.925,29.194,0,60
93,"2014-03-12",0.075,145.37,29.316,0,75
93,"2014-03-12",0.085,109.343,26.936,0,85
93,"2014-03-12",0.09,117.125,27.253,0,90
93,"2014-03-12",0.097,131.59,27.007,0,97
93,"2014-03-12",0.1,124.611,27.316,0,100
93,"2014-03-12",0.11,103.793,26.534,0,110
93,"2014-03-12",0.12,65.556,24.043,0,120
93,"2014-03-12",0.135,5.168,14.855,0,135
93,"2014-03-12",0.15,1.504,0.751,0,150
93,"2014-03-12",0.165,0,0,0,165
94,"2014-04-09",0.01,205.589,23.105,0,10
94,"2014-04-09",0.02,203.882,28.783,0,20
94,"2014-04-09",0.04,198.021,27.301,0,40
94,"2014-04-09",0.06,193.072,19.252,0,60
94,"2014-04-09",0.075,191.261,9.395,0,75
94,"2014-04-09",0.085,162.445,28.079,0,85
94,"2014-04-09",0.09,113.148,19.402,0,90
94,"2014-04-09",0.097,105.95,18.646,0,97
94,"2014-04-09",0.1,98.459,28.827,0,100
94,"2014-04-09",0.11,65.536,26.796,0,110
94,"2014-04-09",0.12,51.949,23.873,0,120
94,"2014-04-09",0.135,14.6,12.736,0,135
94,"2014-04-09",0.15,1.439,12.503,0,150
95,"2014-05-14",0.01,263.838,5.498,0,10
95,"2014-05-14",0.02,231.067,16.609,0,20
95,"2014-05-14",0.04,217.717,20.132,0,40
95,"2014-05-14",0.06,196.732,27.158,0,60
95,"2014-05-14",0.075,185.342,26.911,0,75
95,"2014-05-14",0.085,157.292,26.957,0,85
95,"2014-05-14",0.09,119.477,27.876,0,90
95,"2014-05-14",0.097,73.409,29.035,0,97
95,"2014-05-14",0.1,62.58,29.131,0,100
95,"2014-05-14",0.11,27.843,28.88,0,110
95,"2014-05-14",0.12,7.872,25,0,120
95,"2014-05-14",0.135,0.761,17.736,0,135
95,"2014-05-14",0.15,0.682,3.629,0,150
96,"2014-06-11",0.01,228.141,NA,0,10
96,"2014-06-11",0.02,208.543,NA,0,20
96,"2014-06-11",0.04,169.099,NA,0,40
96,"2014-06-11",0.06,149.759,NA,0,60
96,"2014-06-11",0.075,107.672,NA,0,75
96,"2014-06-11",0.085,79.685,NA,0,85
96,"2014-06-11",0.09,73.955,NA,0,90
96,"2014-06-11",0.097,57.581,NA,0,97
96,"2014-06-11",0.1,50.201,NA,0,100
96,"2014-06-11",0.11,34.929,NA,0,110
96,"2014-06-11",0.12,18.103,NA,0,120
96,"2014-06-11",0.135,3.698,NA,0,135
96,"2014-06-11",0.15,1.975,NA,0,150
97,"2014-07-09",0.01,327.185,NA,0,10
97,"2014-07-09",0.02,196.292,NA,0,20
97,"2014-07-09",0.04,154.135,NA,0,40
97,"2014-07-09",0.06,122.746,NA,0,60
97,"2014-07-09",0.075,93.156,NA,0,75
97,"2014-07-09",0.085,66.984,NA,0,85
97,"2014-07-09",0.09,56.488,NA,0,90
97,"2014-07-09",0.097,40.391,NA,0,97
97,"2014-07-09",0.1,33.216,NA,0,100
97,"2014-07-09",0.11,17.366,NA,0,110
97,"2014-07-09",0.12,9.847,NA,0,120
97,"2014-07-09",0.135,3.393,NA,0,135
97,"2014-07-09",0.15,0,NA,0,150
98,"2014-08-13",0.01,180.33,NA,0,10
98,"2014-08-13",0.02,156.91,NA,0,20
98,"2014-08-13",0.04,141.761,NA,0,40
98,"2014-08-13",0.06,105.173,NA,0,60
98,"2014-08-13",0.075,52.627,NA,0,75
98,"2014-08-13",0.085,33.323,NA,0,85
98,"2014-08-13",0.09,23.238,NA,0,90
98,"2014-08-13",0.097,12.622,NA,0,97
98,"2014-08-13",0.1,23.603,NA,0,100
98,"2014-08-13",0.12,10.597,NA,0,120
98,"2014-08-13",0.135,4.326,NA,0,135
98,"2014-08-13",0.15,0.951,NA,0,150
99,"2014-09-10",0.01,142.629,NA,0,10
99,"2014-09-10",0.02,145.681,NA,0,20
99,"2014-09-10",0.04,124.724,NA,0,40
99,"2014-09-10",0.06,100.409,NA,0,60
99,"2014-09-10",0.075,32.515,NA,0,75
99,"2014-09-10",0.085,29.833,NA,0,85
99,"2014-09-10",0.09,23.004,NA,0,90
99,"2014-09-10",0.097,14.537,NA,0,97
99,"2014-09-10",0.1,29.023,NA,0,100
99,"2014-09-10",0.11,20.415,NA,0,110
99,"2014-09-10",0.12,12.323,NA,0,120
99,"2014-09-10",0.135,0.793,NA,0,135
100,"2014-10-08",0.01,172.671,NA,0,10
100,"2014-10-08",0.02,135.204,NA,0,20
100,"2014-10-08",0.04,122.413,NA,0,40
100,"2014-10-08",0.06,109.985,NA,0,60
100,"2014-10-08",0.075,64.091,NA,0,75
100,"2014-10-08",0.085,12.762,NA,0,85
100,"2014-10-08",0.09,13.472,NA,0,90
100,"2014-10-08",0.097,19.381,NA,0,97
100,"2014-10-08",0.1,18.81,NA,0,100
100,"2014-10-08",0.11,27.933,NA,0,110
100,"2014-10-08",0.12,19.001,NA,0,120
100,"2014-10-08",0.135,12.472,NA,0,135
100,"2014-10-08",0.15,1.199,NA,0,150
100,"2014-10-08",0.165,0,NA,0,165
100,"2014-10-08",0.185,0.628,NA,0,185
85,"2013-07-10",0.1,33.858,22.832,0.039,100
85,"2013-07-10",0.12,12.18,18.425,0.051,120
85,"2013-07-10",0.075,74.776,30.67,0.109,75
85,"2013-07-10",0.01,222.498,8.567,0.144,10
85,"2013-07-10",0.15,3.061,6.431,0.147,150
85,"2013-07-10",0.165,2.754,0,0.147,165
85,"2013-07-10",0.02,211.73,3.194,0.2,20
85,"2013-07-10",0.2,0,0,0.211,200
85,"2013-07-10",0.11,21.375,27.849,0.271,110
85,"2013-07-10",0.04,164.654,17.279,0.596,40
85,"2013-07-10",0.085,46.262,30.023,0.639,85
85,"2013-07-10",0.06,117.798,28.75,0.983,60
85,"2013-07-10",0.135,4.985,17.293,1.226,135
69,"2012-05-09",0.15,0,4.402,1.7243,150
48,"2010-08-11",0.097,69.671,21.656,1.7261,97
67,"2012-03-14",0.097,83.032,26.803,1.7363,97
67,"2012-03-14",0.2,2.696,0.648,1.7363,200
70,"2012-06-14",0.15,0,4.446,1.8294,150
98,"2014-08-13",0.11,34.16,NA,1.8631,110
43,"2010-03-10",0.15,0,0,1.9336,150
48,"2010-08-11",0.12,2.618,2.35,1.943,120
84,"2013-06-13",0.2,0,0,1.9608,200
55,"2011-03-08",0.185,0,0,2.0209,185
32,"2009-04-08",0.2,0,0,2.024,200
48,"2010-08-11",0.135,0,0.147,2.0673,135
57,"2011-05-18",0.15,0,0,2.0888,150
20,"2008-04-09",0.2,0,0.117,2.14,200
46,"2010-06-16",0.135,0,0.046,2.2021,135
47,"2010-07-07",0.135,0,0,2.2021,135
39,"2009-11-10",0.185,0,0,2.4159,185
74,"2012-09-10",0.165,2.676,1.055,2.4273,165
55,"2011-03-08",0.165,0,0,2.5196,165
21,"2008-05-14",0.185,0,0,2.591,185
86,"2013-08-01",0.185,0,0,2.6173,185
87,"2013-09-11",0.185,4.055,0,2.6173,185
88,"2013-10-09",0.185,3.608,0,2.6173,185
56,"2011-04-07",0.165,0,0,2.6232,165
55,"2011-03-08",0.2,0,0,2.6435,200
45,"2010-05-12",0.15,0,0,2.7191,150
92,"2014-02-12",0.185,0,0.394,2.7686,185
40,"2009-12-09",0.15,0,7.776,2.9315,150
42,"2010-02-10",0.165,0,0,2.9532,165
92,"2014-02-12",0.2,0,0.128,2.9793,200
34,"2009-06-16",0.2,0,0,3.0041,200
91,"2014-01-15",0.2,0,0,3.02,200
86,"2013-08-01",0.2,0,0,3.1048,200
87,"2013-09-11",0.2,6.495,8.695,3.1048,200
88,"2013-10-09",0.2,3.419,0,3.1048,200
75,"2012-09-21",0.1,12.408,22.091,3.1285,100
69,"2012-05-09",0.2,0,0,3.1626,200
94,"2014-04-09",0.165,0,3.095,3.2952,165
95,"2014-05-14",0.165,0,0,3.2952,165
38,"2009-10-14",0.185,0,0,3.3319,185
56,"2011-04-07",0.185,0,0,3.4807,185
72,"2012-08-01",0.165,0,0,3.5027,165
39,"2009-11-10",0.2,0,0,3.7552,200
22,"2008-06-11",0.185,0,0,3.858,185
54,"2011-02-08",0.2,0,0,3.887,200
23,"2008-07-16",0.165,0,0.043,4.025,165
40,"2009-12-09",0.2,0,0.127,4.1307,200
93,"2014-03-12",0.185,0,0,4.1402,185
70,"2012-06-14",0.185,0,0,4.3581,185
96,"2014-06-11",0.165,0,NA,4.4235,165
37,"2009-09-01",0.18,0,0,4.5,180
48,"2010-08-11",0.15,0,0,4.5075,150
46,"2010-06-16",0.15,0,0,4.5629,150
47,"2010-07-07",0.15,0,0,4.5629,150
21,"2008-05-14",0.2,0,0,4.575,200
35,"2009-07-13",0.15,0,0,4.5853,150
56,"2011-04-07",0.2,0,0,4.701,200
35,"2009-07-13",0.165,0,0,4.8822,165
60,"2011-08-09",0.185,0,0,4.9408,185
25,"2008-09-10",0.2,0,0,4.947,200
37,"2009-09-01",0.16,0,0,4.963,160
48,"2010-08-11",0.185,0,0,5.1455,185
76,"2012-10-10",0.12,0,0.748,5.1815,120
43,"2010-03-10",0.165,0,0,5.1924,165
57,"2011-05-18",0.165,0,0,5.3537,165
37,"2009-09-01",0.17,0,0,5.422,170
60,"2011-08-09",0.2,0,0,5.4639,200
22,"2008-06-11",0.2,0,0,5.498,200
58,"2011-06-15",0.15,0,0,5.592,150
60,"2011-08-09",0.165,0,0,5.7005,165
94,"2014-04-09",0.185,0,0.359,5.807,185
95,"2014-05-14",0.185,0,0,5.807,185
38,"2009-10-14",0.2,0,0,5.925,200
98,"2014-08-13",0.165,0,NA,5.9986,165
24,"2008-08-11",0.185,0,0,6.009,185
30,"2009-02-11",0.2,0,0,6.1402,200
31,"2009-03-11",0.2,2.837,0,6.1402,200
48,"2010-08-11",0.165,0,0,6.2367,165
37,"2009-09-01",0.19,0,0,6.306,190
35,"2009-07-13",0.185,0,0,6.3101,185
26,"2008-10-15",0.185,28.885,20.364,6.5472,185
99,"2014-09-10",0.15,0,NA,6.5791,150
46,"2010-06-16",0.165,0,0,6.7057,165
47,"2010-07-07",0.165,0,0,6.7057,165
45,"2010-05-12",0.165,0,0,6.8598,165
36,"2009-08-11",0.185,0,0,6.865,185
36,"2009-08-11",0.165,0,0,7.1255,165
57,"2011-05-18",0.185,0,0,7.3092,185
23,"2008-07-16",0.2,0,0,7.538,200
59,"2011-07-06",0.15,0,0,7.647,150
93,"2014-03-12",0.2,0,0,7.9887,200
59,"2011-07-06",0.165,0,0,8.0356,165
71,"2012-07-11",0.15,0,1.687,8.0762,150
97,"2014-07-09",0.165,0,NA,8.1087,165
42,"2010-02-10",0.185,0,0,8.2376,185
23,"2008-07-16",0.185,0,0,8.411,185
58,"2011-06-15",0.185,0,0,8.6316,185
57,"2011-05-18",0.2,0,0,8.7504,200
96,"2014-06-11",0.185,0,NA,8.8022,185
59,"2011-07-06",0.185,0,0,9.1462,185
35,"2009-07-13",0.2,0,0,9.4041,200
48,"2010-08-11",0.2,0,0,9.5547,200
24,"2008-08-11",0.2,0,0,9.657,200
43,"2010-03-10",0.2,0,0,10.5095,200
71,"2012-07-11",0.165,0,0,10.5443,165
96,"2014-06-11",0.2,0,NA,10.8663,200
59,"2011-07-06",0.2,0,0,11.5904,200
72,"2012-08-01",0.185,0,0,11.647,185
94,"2014-04-09",0.2,0,2.296,12.1708,200
95,"2014-05-14",0.2,0,0,12.1708,200
36,"2009-08-11",0.2,0,0,12.6746,200
71,"2012-07-11",0.2,0,0,12.7072,200
45,"2010-05-12",0.185,0,0,12.9098,185
70,"2012-06-14",0.2,0,0,13.2679,200
98,"2014-08-13",0.185,0,NA,13.5941,185
97,"2014-07-09",0.185,0,NA,13.7653,185
43,"2010-03-10",0.185,0,0,14.3249,185
71,"2012-07-11",0.185,0,0,14.3259,185
45,"2010-05-12",0.2,0,0,14.4024,200
58,"2011-06-15",0.2,0,0,14.7421,200
37,"2009-09-01",0.2,0,0,15.084,200
98,"2014-08-13",0.2,0,NA,15.2641,200
100,"2014-10-08",0.2,0,NA,15.6676,200
72,"2012-08-01",0.2,0,0,17.9867,200
42,"2010-02-10",0.2,0,0,18.3271,200
46,"2010-06-16",0.185,0,0,18.7978,185
47,"2010-07-07",0.185,0,0,18.7978,185
97,"2014-07-09",0.2,0,NA,19.3965,200
46,"2010-06-16",0.2,0,0,20.466,200
47,"2010-07-07",0.2,0,0,20.466,200
99,"2014-09-10",0.185,0,NA,25.7616,185
99,"2014-09-10",0.2,0,NA,26.3372,200
99,"2014-09-10",0.165,0,NA,27.0335,165
73,"2012-08-28",0.02,153.017,NA,NA,20
73,"2012-08-28",0.04,129.175,NA,NA,40
73,"2012-08-28",0.06,76.442,NA,NA,60
73,"2012-08-28",0.075,27.563,NA,NA,75
73,"2012-08-28",0.085,14.402,NA,NA,85
73,"2012-08-28",0.09,25.526,NA,NA,90
73,"2012-08-28",0.097,30.685,NA,NA,97
73,"2012-08-28",0.11,30.313,NA,NA,110
73,"2012-08-28",0.185,0,NA,NA,185
73,"2012-08-28",0.2,0,5.795,NA,200
